lambda,beta,frac_campo,ion
1500,13181929.73,0.137820574,3
1500,13182276.8,0.137866652,3
1500,13182624.38,0.137912777,3
1500,13182972.48,0.137958949,3
1500,13183321.09,0.138005168,3
1500,13183670.22,0.138051433,3
1500,13184019.86,0.138097745,3
1500,13184370.02,0.138144104,3
1500,13184720.7,0.138190509,3
1500,13185071.89,0.138236961,3
1500,13185423.6,0.138283459,3
1500,13185775.82,0.138330003,3
1500,13186128.56,0.138376594,3
1500,13186481.82,0.138423231,3
1500,13186835.6,0.138469914,3
1500,13187189.9,0.138516643,3
1500,13187544.72,0.138563419,3
1500,13187900.06,0.138610241,3
1500,13188255.91,0.138657108,3
1500,13188612.29,0.138704022,3
1500,13188969.19,0.138750981,3
1500,13189326.61,0.138797986,3
1500,13189684.55,0.138845037,3
1500,13190043.01,0.138892134,3
1500,13190401.99,0.138939276,3
1500,13190761.5,0.138986464,3
1500,13191121.53,0.139033698,3
1500,13191482.08,0.139080976,3
1500,13191843.16,0.139128301,3
1500,13192204.76,0.13917567,3
1500,13192566.88,0.139223085,3
1500,13192929.54,0.139270546,3
1500,13193292.71,0.139318051,3
1500,13193656.41,0.139365601,3
1500,13194020.64,0.139413197,3
1500,13194385.39,0.139460837,3
1500,13194750.67,0.139508523,3
1500,13195116.48,0.139556253,3
1500,13195482.81,0.139604028,3
1500,13195849.68,0.139651848,3
1500,13196217.07,0.139699712,3
1500,13196584.99,0.139747622,3
1500,13196953.44,0.139795575,3
1500,13197322.42,0.139843573,3
1500,13197691.93,0.139891616,3
1500,13198061.96,0.139939703,3
1500,13198432.53,0.139987834,3
1500,13198803.63,0.14003601,3
1500,13199175.27,0.140084229,3
1500,13199547.43,0.140132493,3
1500,13199920.12,0.140180801,3
1500,13200293.35,0.140229152,3
1500,13200667.11,0.140277548,3
1500,13201041.41,0.140325988,3
1500,13201416.24,0.140374471,3
1500,13201791.6,0.140422998,3
1500,13202167.5,0.140471568,3
1500,13202543.93,0.140520183,3
1500,13202920.9,0.14056884,3
1500,13203298.4,0.140617541,3
1500,13203676.44,0.140666286,3
1500,13204055.01,0.140715074,3
1500,13204434.13,0.140763905,3
1500,13204813.78,0.140812779,3
1500,13205193.96,0.140861696,3
1500,13205574.69,0.140910656,3
1500,13205955.95,0.140959659,3
1500,13206337.75,0.141008705,3
1500,13206720.1,0.141057794,3
1500,13207102.98,0.141106926,3
1500,13207486.4,0.1411561,3
1500,13207870.36,0.141205317,3
1500,13208254.86,0.141254577,3
1500,13208639.91,0.141303879,3
1500,13209025.49,0.141353223,3
1500,13209411.62,0.141402609,3
